"prior_samples","past_leakage","T1_level_percent","T1_percent","T2_percent","optimal_samples"
9500,24,95,0.348973054,0.8,826.3533969
9500,25,95,0.361230214,0.8,863.8467486
9500,26,95,0.373453104,0.8,904.0668674
9500,27,95,0.38564366,0.8,946.85025
9500,28,95,0.397803643,0.8,992.4771602
9500,0,95,0.020215629,0.9,300.1387277
9500,1,95,0.041122772,0.9,310.5124206
9500,2,95,0.058253404,0.9,320.4802433
9500,3,95,0.074019917,0.9,330.5080985
9500,4,95,0.089024009,0.9,340.4063016
9500,5,95,0.103524267,0.9,350.7288055
9500,6,95,0.11765972,0.9,361.2595352
9500,7,95,0.131515263,0.9,372.2363811
9500,8,95,0.145147232,0.9,382.9358159
9500,9,95,0.158595271,0.9,395.2966521
9500,10,95,0.171888527,0.9,407.5490613
9500,11,95,0.185049177,0.9,420.0267458
9500,12,95,0.198094555,0.9,433.4459325
9500,13,95,0.211038515,0.9,447.2772766
9500,14,95,0.223892339,0.9,461.6801391
9500,15,95,0.236665359,0.9,476.7598092
9500,16,95,0.249365397,0.9,492.4778079
9500,17,95,0.26199909,0.9,509.0224267
9500,18,95,0.274572124,0.9,526.2723168
9500,19,95,0.287089413,0.9,544.4779868
9500,20,95,0.299555244,0.9,563.4719662
9500,21,95,0.311973379,0.9,583.4681909
9500,22,95,0.324347142,0.9,604.4763407
9500,23,95,0.336679487,0.9,626.5728315
9500,24,95,0.348973054,0.9,650.0094192
9500,25,95,0.361230214,0.9,674.5041797
9500,26,95,0.373453104,0.9,700.5866293
9500,27,95,0.38564366,0.9,728.0570408
9500,28,95,0.397803643,0.9,757.1663338
9500,0,95,0.020215629,1,269.6149201
9500,1,95,0.041122772,1,278.0198099
9500,2,95,0.058253404,1,285.9218779
9500,3,95,0.074019917,1,294.0334116
9500,4,95,0.089024009,1,301.9123159
9500,5,95,0.103524267,1,310.0863093
9500,6,95,0.11765972,1,318.3862557
9500,7,95,0.131515263,1,326.9397553
9500,8,95,0.145147232,1,335.3507486
9500,9,95,0.158595271,1,344.9147778
9500,10,95,0.171888527,1,354.3194397
